bin_center,pdf_value
4.930796853932584156e-01,0.000000000000000000e+00
4.942808539325843076e-01,0.000000000000000000e+00
4.954820224719101440e-01,0.000000000000000000e+00
4.966831910112359805e-01,0.000000000000000000e+00
4.978843595505618169e-01,0.000000000000000000e+00
4.990855280898876534e-01,0.000000000000000000e+00
5.002866966292135453e-01,0.000000000000000000e+00
5.014878651685393818e-01,0.000000000000000000e+00
5.026890337078652182e-01,0.000000000000000000e+00
5.038902022471910547e-01,0.000000000000000000e+00
5.050913707865168911e-01,0.000000000000000000e+00
5.062925393258427276e-01,0.000000000000000000e+00
5.074937078651685640e-01,0.000000000000000000e+00
5.086948764044944005e-01,0.000000000000000000e+00
5.098960449438202369e-01,0.000000000000000000e+00
5.110972134831460734e-01,0.000000000000000000e+00
5.122983820224719098e-01,0.000000000000000000e+00
5.134995505617977463e-01,0.000000000000000000e+00
5.147007191011235827e-01,0.000000000000000000e+00
5.159018876404494192e-01,0.000000000000000000e+00
5.171030561797752556e-01,0.000000000000000000e+00
5.183042247191010921e-01,0.000000000000000000e+00
5.195053932584270395e-01,0.000000000000000000e+00
5.207065617977528760e-01,0.000000000000000000e+00
5.219077303370787124e-01,0.000000000000000000e+00
5.231088988764045489e-01,0.000000000000000000e+00
5.243100674157303853e-01,0.000000000000000000e+00
5.255112359550562218e-01,0.000000000000000000e+00
5.267124044943820582e-01,0.000000000000000000e+00
5.279135730337078947e-01,0.000000000000000000e+00
5.291147415730337311e-01,0.000000000000000000e+00
5.303159101123595676e-01,0.000000000000000000e+00
5.315170786516854040e-01,0.000000000000000000e+00
5.327182471910112405e-01,0.000000000000000000e+00
5.339194157303370769e-01,4.191049456222392840e-03
